uid,proto,service,duration,orig_bytes,resp_bytes,conn_state,orig_pkts,resp_pkts,label,attack_type
C000029,tcp,-,0.00218,0,0,S0,1,0,1,portscan
C000030,udp,dns,7.4102,3264,12943,SF,8,7,0,benign
C000031,icmp,-,5.5389,1816,402,SF,4,3,0,benign
C000032,tcp,ssl,1.3801,714,14215,SF,7,5,0,benign
C000033,tcp,-,1.1096,2334,9386,SF,6,19,0,benign
C000034,tcp,-,0.00874,0,0,S0,1,1,1,portscan
C000035,tcp,http,3.1615,7337,41293,SF,11,17,0,benign
C000036,udp,dns,1.2064,1400,22688,SF,10,8,0,benign
C000037,tcp,ssl,2.1556,1773,8788,SF,9,4,0,benign
C000038,tcp,http,1.8154,5784,18063,SF,12,9,0,benign
C000039,tcp,ssl,2.3656,3726,556,SF,6,2,0,benign
C000040,tcp,ssl,0.8532,1740,3417,SF,5,17,0,benign
C000041,tcp,http,4.8268,5652,23562,SF,6,9,0,benign
C000042,tcp,-,0.00227,0,0,REJ,1,0,1,portscan
C000043,tcp,-,0.6813,1225,16212,SF,5,7,0,benign
C000044,tcp,ftp,1.7524,352,378,SF,8,9,1,bruteforce
C000045,tcp,http,4.6546,468,4148,SF,4,2,0,benign
C000046,tcp,ssl,2.2957,3912,15066,SF,6,6,0,benign
C000047,tcp,http,1.4548,4992,65098,SF,8,22,0,benign
C000048,tcp,http,3.108,1419,10275,SF,3,5,0,benign
C000049,tcp,ssh,9.9129,6340,12375,SF,10,5,0,benign
C000050,tcp,ssl,2.4009,9911,2458,SF,11,2,0,benign
C000051,tcp,-,0.00596,0,0,S0,1,0,1,portscan
C000052,icmp,-,4.8005,5467,61525,REJ,11,23,0,benign
C000053,tcp,-,0.00038,0,0,S0,1,0,1,portscan
C000054,udp,dns,8.1901,1056,21560,SF,2,11,0,benign
C000055,tcp,-,0.01388,0,0,S0,2,0,1,ddos
C000056,tcp,ssl,4.1056,2228,14770,SF,4,14,0,benign
C000057,tcp,ssh,1.175,400,245,SF,8,5,1,bruteforce
C000058,udp,dns,1.1493,880,8505,SF,4,21,0,benign
C000059,tcp,ssl,8.6115,2380,52812,SF,4,18,0,benign
C000060,udp,dns,1.8081,8184,53900,SF,12,22,0,benign
C000061,udp,-,0.01353,0,0,S0,2,0,1,ddos
C000062,tcp,ssl,7.9907,1715,21880,SF,7,8,0,benign
C000063,tcp,http,8.1966,6409,15253,SF,17,7,0,benign
C000064,tcp,http,4.6855,1865,8259,REJ,5,3,0,benign
C000065,tcp,-,0.00333,0,0,S0,1,1,1,portscan
C000066,udp,dns,2.0648,3696,1930,SF,8,5,0,benign
C000067,tcp,ssh,3.528,456,324,SF,6,9,1,bruteforce
C000068,tcp,ssl,3.6935,3328,16082,SF,8,17,0,benign
C000069,icmp,-,6.8696,1340,14768,RSTO,5,13,0,benign
C000070,tcp,http,2.7409,357,10160,SF,3,8,0,benign
C000071,tcp,-,3.5616,5256,6496,SF,12,8,0,benign
C000072,tcp,-,9.522,4291,6992,SF,7,8,0,benign
C000073,tcp,http,1.928,8514,45254,SF,9,22,0,benign
C000074,tcp,ssh,6.5363,7752,4976,SF,8,8,0,benign
C000075,tcp,-,0.00118,0,0,S0,1,0,1,portscan
C000076,tcp,ssl,2.0593,3318,46464,SF,14,16,0,benign
C000077,tcp,-,3.086,2439,23834,SF,9,34,0,benign
C000078,tcp,-,0.00784,0,0,S0,1,0,1,portscan
C000079,tcp,ssl,1.1876,1368,22010,SF,4,10,0,benign
C000080,tcp,-,0.00056,0,0,S0,1,0,1,portscan
C000081,tcp,ssl,5.5662,3952,56700,SF,4,25,0,benign
C000082,tcp,ssl,3.0583,567,3772,SF,3,4,0,benign
C000083,tcp,http,4.3765,1062,9972,S1,9,9,0,benign
C000084,tcp,-,2.0845,4815,6399,SF,5,3,0,benign
C000085,tcp,http,0.9558,5760,69471,REJ,16,27,0,benign
C000086,tcp,http,6.6753,6912,984,SF,24,4,0,benign
C000087,tcp,http,5.6053,3606,6408,SF,6,9,0,benign
C000088,tcp,-,0.00376,0,0,S0,1,0,1,portscan
C000089,tcp,-,0.00406,0,0,S0,1,0,1,ddos
C000090,tcp,-,0.00436,0,0,S0,2,0,1,ddos
C000091,tcp,-,0.01646,0,0,S0,2,0,1,ddos
C000092,tcp,ssh,1.2002,440,354,SF,8,6,1,bruteforce
C000093,tcp,ssl,6.7845,1832,3200,SF,8,4,0,benign
C000094,tcp,http,12.2374,560,21712,SF,5,8,0,benign
C000095,udp,dns,5.3739,5588,93456,SF,11,36,0,benign
C000096,tcp,-,0.00018,0,0,S0,1,1,1,portscan
C000097,tcp,-,0.01037,0,0,S0,2,0,1,ddos
C000098,tcp,-,0.01281,0,0,S0,1,0,1,ddos
C000099,tcp,-,0.03247,0,0,S0,1,0,1,ddos
C000100,tcp,ssl,3.6979,3010,5656,SF,7,4,0,benign
C000101,tcp,http,0.6952,660,11856,SF,10,12,0,benign
C000102,tcp,http,1.6649,1352,5830,SF,8,10,0,benign
C000103,tcp,-,0.00374,0,0,S0,1,0,1,portscan
C000104,tcp,ssl,4.4365,1431,12306,SF,9,6,0,benign
C000105,tcp,http,0.9404,8987,12612,SF,11,6,0,benign
C000106,tcp,ssl,2.3951,6055,7368,SF,7,4,0,benign
C000107,tcp,-,0.00568,0,0,S0,1,0,1,ddos
C000108,tcp,-,0.00936,0,0,S0,1,0,1,portscan
C000109,tcp,ssl,2.2621,5616,11067,SF,6,17,0,benign
C000110,tcp,http,7.7278,4160,21462,SF,5,21,0,benign
C000111,tcp,http,11.6569,1986,21465,SF,6,9,0,benign
C000112,icmp,-,6.5731,2704,29010,REJ,8,10,0,benign
C000113,tcp,ssl,3.3833,576,7836,SF,8,6,0,benign
C000114,tcp,-,0.00789,0,0,S0,1,0,1,portscan
C000115,tcp,http,4.7245,5820,8640,SF,12,9,0,benign
C000116,udp,-,0.00347,0,0,S0,2,0,1,ddos
C000117,tcp,ssl,4.4202,5352,17808,S1,12,6,0,benign
C000118,tcp,http,1.9768,2211,23248,SF,3,8,0,benign
C000119,udp,dns,1.9112,6699,28795,SF,7,13,0,benign
C000120,tcp,-,0.00426,0,0,S0,1,0,1,ddos
C000121,tcp,http,7.1405,7722,5888,SF,9,8,0,benign
C000122,udp,-,0.04165,0,0,S0,1,0,1,ddos
C000123,tcp,http,6.5232,3215,2800,SF,5,4,0,benign
C000124,tcp,http,3.9628,3890,18183,SF,10,11,0,benign
C000125,tcp,ssh,1.1876,1200,19880,SF,5,8,0,benign
C000126,tcp,ssl,1.8313,4315,808,SF,5,2,0,benign
C000127,tcp,ssl,1.4302,15952,22682,SF,16,11,0,benign
C000128,tcp,-,0.00352,0,0,S0,1,0,1,portscan
C000129,tcp,ssh,3.4115,3472,3484,REJ,8,2,0,benign
C000130,udp,dns,3.0502,965,7194,SF,5,11,0,benign
C000131,icmp,-,3.6689,4750,59688,SF,10,24,0,benign
C000132,tcp,http,8.7425,3045,11562,SF,7,6,0,benign
C000133,tcp,ssl,2.534,5032,256,SF,8,2,0,benign
C000134,tcp,-,0.00401,0,0,S0,1,1,1,portscan
C000135,tcp,ssh,1.4059,583,288,SF,11,6,1,bruteforce
C000136,tcp,ssl,7.2143,10716,4312,SF,12,7,0,benign
C000137,tcp,ssl,3.8067,9372,22260,SF,11,10,0,benign
C000138,tcp,ssl,2.4646,21978,3832,SF,22,2,0,benign
C000139,tcp,-,0.00703,0,0,S0,1,0,1,portscan
C000140,tcp,ssl,9.4846,15136,3969,SF,22,9,0,benign
C000141,udp,-,0.0472,0,0,S0,2,0,1,ddos
C000142,tcp,ssh,2.0291,954,11120,SF,6,20,0,benign
C000143,udp,dns,0.8193,7942,1016,SF,11,4,0,benign
C000144,tcp,-,0.04829,0,0,S0,1,0,1,ddos
C000145,tcp,http,1.7002,1712,12815,SF,16,11,0,benign
C000146,udp,dns,1.0149,3186,11277,SF,9,9,0,benign
C000147,tcp,ssl,2.9047,12350,12912,SF,13,6,0,benign
C000148,tcp,ssl,6.0084,1572,24096,SF,3,12,0,benign
C000149,tcp,-,1.6007,5502,3003,SF,6,13,0,benign
C000150,udp,dns,0.9092,6780,7476,SF,15,12,0,benign
C000151,tcp,ssl,6.0231,1314,19476,RSTO,6,9,0,benign
C000152,tcp,http,1.1311,6848,2180,SF,8,10,0,benign
C000153,tcp,-,0.00705,0,0,S0,1,1,1,portscan
C000154,tcp,ssl,3.7531,8532,23230,SF,9,10,0,benign
C000155,tcp,ssl,3.8758,6118,2014,SF,19,2,0,benign
C000156,tcp,ssl,5.0084,2891,79500,SF,7,50,0,benign
C000157,tcp,http,4.5604,864,33978,SF,9,14,0,benign
C000158,tcp,-,1.1877,3468,28952,SF,4,11,0,benign
C000159,udp,dns,3.7627,11466,6027,SF,13,7,0,benign
C000160,udp,dns,1.7287,13712,34034,SF,16,14,0,benign
C000161,udp,dns,4.6805,16830,11525,SF,22,5,0,benign
C000162,tcp,-,0.00729,0,0,S0,1,0,1,ddos
C000163,tcp,http,1.4862,1450,7371,S1,5,9,0,benign
C000164,tcp,ssl,6.562,17316,4780,SF,18,5,0,benign
C000165,tcp,-,20.5184,1257,27080,SF,3,10,0,benign
C000166,tcp,ssh,2.2996,400,200,SF,8,5,1,bruteforce
C000167,tcp,-,0.00422,0,0,S0,1,1,1,portscan
C000168,tcp,-,0.00314,0,0,REJ,1,0,1,portscan
C000169,tcp,http,3.8261,3897,19975,SF,9,17,0,benign
C000170,udp,dns,0.9496,2916,15903,SF,3,19,0,benign
C000171,tcp,ssh,2.547,405,301,SF,9,7,1,bruteforce
C000172,tcp,-,0.01058,0,0,S0,1,0,1,ddos
C000173,udp,dns,2.1929,2185,33059,SF,5,13,0,benign
C000174,tcp,ssl,5.905,2636,14505,SF,4,5,0,benign
C000175,tcp,http,5.2671,132,10272,SF,2,4,0,benign
C000176,tcp,ssh,2.8281,516,5825,SF,6,5,0,benign
C000177,tcp,-,0.00929,0,0,S0,1,1,1,portscan
C000178,tcp,ssl,1.1013,12166,24189,SF,14,11,0,benign
C000179,tcp,http,6.0079,790,8120,SF,5,7,0,benign
C000180,tcp,-,0.0058,0,0,S0,1,1,1,portscan
C000181,udp,dns,5.5669,2952,7947,SF,12,3,0,benign
C000182,tcp,ssl,5.0922,8838,8598,SF,9,6,0,benign
C000183,tcp,http,3.1111,2067,3750,SF,13,6,0,benign
C000184,tcp,ssl,1.9281,1870,19488,SF,11,8,0,benign
C000185,tcp,-,0.00639,0,0,S0,1,0,1,ddos
C000186,tcp,-,0.4559,2151,48334,S1,9,26,0,benign
C000187,tcp,-,0.00345,0,0,S0,2,0,1,ddos
C000188,tcp,ssl,2.3826,22533,15021,SF,29,9,0,benign
C000189,tcp,http,1.653,13376,28860,SF,16,12,0,benign
C000190,tcp,-,0.00797,0,0,S0,1,0,1,portscan
C000191,tcp,ssl,2.4737,3150,30048,SF,7,12,0,benign
C000192,tcp,ssl,3.2761,6443,17380,S1,17,20,0,benign
C000193,tcp,ssh,2.5712,1804,19439,SF,11,7,0,benign
C000194,tcp,-,0.00636,0,0,S0,1,1,1,portscan
C000195,tcp,http,2.9836,4860,30492,SF,6,12,0,benign
C000196,tcp,ssl,4.7629,362,1420,SF,2,5,0,benign
C000197,tcp,http,9.7391,2520,28655,SF,4,11,0,benign
C000198,udp,dns,7.0714,5913,3468,SF,9,4,0,benign
C000199,tcp,-,3.5052,1408,19908,SF,8,7,0,benign
C000200,tcp,http,0.9495,1000,14007,SF,10,7,0,benign
C000201,tcp,-,0.00678,0,0,S0,1,0,1,portscan
C000202,tcp,ssl,2.1744,8766,1880,REJ,9,4,0,benign
C000203,udp,dns,7.1717,4503,6572,SF,19,4,0,benign
C000204,tcp,ssh,3.1587,360,387,SF,8,9,1,bruteforce
C000205,tcp,ssl,2.7775,1512,23415,SF,3,15,0,benign
C000206,tcp,-,0.04247,0,0,S0,2,0,1,ddos
C000207,tcp,ssl,1.1603,18568,5961,SF,22,3,0,benign
C000208,tcp,-,0.01,0,0,S0,1,1,1,portscan
C000209,tcp,http,1.348,2478,32319,SF,6,21,0,benign
C000210,tcp,ssl,5.0032,1452,15624,SF,4,6,0,benign
C000211,tcp,-,0.02255,0,0,S0,1,0,1,ddos
C000212,tcp,-,0.04783,0,0,S0,2,0,1,ddos
C000213,tcp,ssh,1.2846,468,328,SF,6,8,1,bruteforce
C000214,tcp,http,4.5155,3980,67520,SF,4,80,0,benign
C000215,tcp,-,0.00332,0,0,S0,1,0,1,portscan
C000216,udp,dns,9.0461,5094,5556,SF,6,6,0,benign
C000217,tcp,-,1.5825,2016,2646,SF,9,9,0,benign
C000218,tcp,-,0.00394,0,0,S0,2,0,1,ddos
C000219,tcp,ssl,3.7232,1152,42900,SF,8,22,0,benign
C000220,tcp,-,0.00376,0,0,S0,2,0,1,ddos
C000221,tcp,ssl,3.3044,2892,18045,SF,4,15,0,benign
C000222,tcp,-,0.00337,0,0,S0,1,0,1,portscan
C000223,tcp,ssl,2.1517,4312,14985,SF,8,9,0,benign
C000224,tcp,ssh,1.9691,715,308,SF,11,7,1,bruteforce
C000225,tcp,http,0.6163,5390,3332,SF,10,4,0,benign
C000226,tcp,-,0.00693,0,0,S0,1,0,1,portscan
C000227,udp,-,0.04503,0,0,S0,2,0,1,ddos
C000228,tcp,ssl,1.8058,4689,30674,SF,9,14,0,benign
C000229,tcp,http,2.5382,2632,19844,SF,8,11,0,benign
C000230,udp,dns,11.2758,888,23697,REJ,6,9,0,benign
C000231,udp,dns,7.5165,2028,7026,SF,26,3,0,benign
C000232,udp,dns,0.6287,1222,5670,SF,2,7,0,benign
C000233,tcp,ssl,2.6107,6851,5322,SF,17,6,0,benign
C000234,tcp,http,3.6768,852,6582,SF,6,3,0,benign
C000235,tcp,-,2.4005,2100,28230,SF,3,10,0,benign
C000236,tcp,http,4.1141,2289,17808,SF,3,6,0,benign
C000237,udp,dns,2.1666,5052,18798,SF,6,39,0,benign
C000238,udp,dns,1.6025,12116,34437,SF,13,13,0,benign
C000239,tcp,-,0.00883,0,0,S0,1,0,1,portscan
C000240,tcp,-,0.02784,0,0,S0,2,0,1,ddos
C000241,tcp,http,1.4012,8379,38650,SF,19,25,0,benign
C000242,tcp,http,6.6424,9420,9205,SF,10,7,0,benign
C000243,tcp,-,6.0928,3015,45200,SF,5,16,0,benign
C000244,tcp,http,1.652,903,29062,RSTO,7,11,0,benign
C000245,tcp,ssl,16.5089,9592,5050,S1,11,2,0,benign
C000246,tcp,ssl,3.7979,438,1867,SF,6,1,0,benign
C000247,tcp,ssl,3.9872,11305,10720,REJ,17,5,0,benign
C000248,udp,dns,8.3967,1010,2031,SF,5,3,0,benign
C000249,icmp,-,1.5355,1365,5560,SF,3,5,0,benign
C000250,tcp,-,0.00711,0,0,S0,1,0,1,ddos
C000251,udp,dns,2.098,3300,31824,SF,5,17,0,benign
C000252,tcp,ssh,1.891,803,195,SF,11,5,1,bruteforce
C000253,tcp,ssl,10.7452,3136,1894,SF,8,2,0,benign
C000254,tcp,http,1.695,735,26136,SF,3,11,0,benign
C000255,tcp,-,0.02011,0,0,S0,1,0,1,ddos
C000256,udp,dns,3.5316,5026,41599,RSTO,7,17,0,benign
C000257,tcp,ssh,3.8442,312,432,SF,6,9,1,bruteforce
C000258,tcp,http,3.7031,1941,4144,SF,3,7,0,benign
C000259,tcp,ssh,3.9378,485,73984,SF,5,32,0,benign
C000260,udp,dns,1.2479,3900,13398,SF,6,7,0,benign
C000261,tcp,-,0.03512,0,0,S0,2,0,1,ddos
C000262,tcp,-,0.00478,0,0,S0,1,1,1,portscan
C000263,tcp,ssl,3.493,9758,27072,SF,14,12,0,benign
C000264,tcp,http,2.9462,13889,13390,SF,17,5,0,benign
C000265,icmp,-,4.8462,1564,44136,SF,4,18,0,benign
C000266,tcp,-,0.00725,0,0,S0,1,1,1,portscan
C000267,udp,dns,2.6899,2919,14745,SF,7,15,0,benign
C000268,tcp,ssl,3.8464,6342,1980,SF,7,6,0,benign
C000269,udp,dns,1.3073,8283,10052,REJ,11,4,0,benign
C000270,tcp,http,3.416,2240,14816,SF,8,8,0,benign
C000271,tcp,-,0.00849,0,0,REJ,1,0,1,portscan
C000272,tcp,ssh,2.7864,364,450,SF,7,9,1,bruteforce
C000273,tcp,-,0.00775,0,0,REJ,1,1,1,portscan
C000274,tcp,http,0.1708,9372,11010,REJ,22,10,0,benign
C000275,tcp,http,2.3174,475,14190,SF,5,22,0,benign
C000276,tcp,-,0.02155,0,0,S0,1,0,1,ddos
C000277,tcp,ssl,3.3866,3015,9705,SF,9,5,0,benign
C000278,udp,-,0.01968,0,0,S0,1,0,1,ddos
C000279,tcp,http,2.9543,2475,35259,RSTO,11,21,0,benign
C000280,tcp,-,0.01353,0,0,S0,1,0,1,ddos
C000281,tcp,http,4.0869,990,47872,SF,5,16,0,benign
C000282,tcp,-,0.00084,0,0,S0,1,1,1,portscan
C000283,tcp,ftp,2.8358,369,234,SF,9,6,1,bruteforce
C000284,tcp,ssh,1.365,638,306,SF,11,6,1,bruteforce
C000285,udp,dns,4.7641,6942,35064,SF,13,18,0,benign
C000286,tcp,ssl,1.2199,472,1824,SF,4,12,0,benign
C000287,udp,dns,10.5992,7084,16856,SF,11,7,0,benign
C000288,tcp,-,3.646,2844,4172,SF,9,4,0,benign
C000289,udp,dns,2.8929,9645,23595,SF,15,13,0,benign
C000290,tcp,-,0.3048,1056,5986,SF,6,2,0,benign
C000291,tcp,-,0.03839,0,0,S0,1,0,1,ddos
C000292,tcp,-,0.00352,0,0,S0,1,0,1,portscan
C000293,udp,dns,3.9004,2450,19824,SF,5,7,0,benign
C000294,tcp,-,0.03789,0,0,S0,1,0,1,ddos
C000295,tcp,http,3.1928,1686,13712,SF,6,8,0,benign
C000296,tcp,-,0.04827,0,0,S0,1,0,1,ddos
C000297,tcp,ssl,1.7679,3375,13040,SF,5,10,0,benign
C000298,tcp,ssl,12.3828,2980,15765,S1,5,15,0,benign
C000299,tcp,-,0.03982,0,0,S0,1,0,1,ddos
C000300,tcp,-,0.0152,0,0,S0,2,0,1,ddos
C000301,tcp,http,4.2856,864,6444,SF,2,4,0,benign
C000302,icmp,-,2.2626,6974,5780,SF,11,5,0,benign
C000303,tcp,ssl,3.7313,5908,8388,SF,7,9,0,benign
C000304,tcp,http,4.2312,3795,55629,SF,15,21,0,benign
C000305,udp,dns,1.7483,4320,9279,SF,5,9,0,benign
C000306,tcp,-,0.00504,0,0,REJ,1,0,1,portscan
C000307,tcp,ssl,4.4427,2685,16432,SF,5,8,0,benign
C000308,tcp,http,12.443,2208,4190,SF,8,10,0,benign
C000309,tcp,http,3.7266,5754,26970,SF,7,29,0,benign
C000310,tcp,ssh,3.0829,348,282,SF,6,6,1,bruteforce
C000311,tcp,-,0.0071,0,0,S0,1,0,1,portscan
C000312,tcp,-,0.00496,0,0,REJ,1,0,1,portscan
C000313,udp,dns,10.0579,5300,11840,SF,10,8,0,benign
C000314,tcp,-,0.9875,7596,51322,SF,12,67,0,benign
C000315,udp,dns,4.0279,2340,15316,SF,6,7,0,benign
C000316,tcp,http,3.6256,524,3476,SF,4,4,0,benign
C000317,tcp,ssl,2.7984,16663,1672,SF,19,11,0,benign
C000318,tcp,-,0.04161,0,0,S0,2,0,1,ddos
C000319,tcp,-,8.0367,2821,7790,SF,7,10,0,benign
C000320,udp,-,0.02862,0,0,S0,2,0,1,ddos
C000321,udp,dns,13.5925,3288,11340,SF,6,7,0,benign
C000322,tcp,ssl,0.847,9340,1336,SF,10,8,0,benign
C000323,tcp,-,0.00309,0,0,REJ,1,0,1,portscan
C000324,tcp,http,1.549,5559,17765,SF,17,17,0,benign
C000325,tcp,http,1.6328,660,9366,REJ,5,6,0,benign
C000326,udp,dns,1.1344,1080,1992,SF,4,4,0,benign
C000327,tcp,-,0.02729,0,0,S0,1,0,1,ddos
C000328,tcp,-,0.04659,0,0,S0,2,0,1,ddos
C000329,tcp,http,6.1838,7125,1530,SF,15,9,0,benign
C000330,tcp,http,1.7267,9035,20544,SF,13,12,0,benign
C000331,tcp,ssl,4.1901,2480,4380,SF,4,15,0,benign
C000332,tcp,ssl,4.8215,1192,11921,SF,4,7,0,benign
C000333,tcp,http,2.5094,5898,8292,SF,6,6,0,benign
C000334,tcp,-,0.00049,0,0,S0,1,0,1,portscan
C000335,udp,dns,2.1231,3052,71254,SF,4,46,0,benign
C000336,tcp,http,5.8795,11788,42738,SF,28,17,0,benign
C000337,tcp,-,0.02154,0,0,S0,2,0,1,ddos
C000338,tcp,ssl,3.6778,6880,2792,RSTO,10,8,0,benign
C000339,tcp,http,1.1092,2574,16749,SF,3,9,0,benign
C000340,udp,dns,0.9054,1960,28464,SF,8,24,0,benign
C000341,tcp,-,0.00912,0,0,S0,1,0,1,portscan
C000342,tcp,-,0.1837,2736,9036,SF,4,9,0,benign
C000343,tcp,-,0.00816,0,0,S0,1,0,1,ddos
C000344,tcp,-,0.0064,0,0,REJ,1,0,1,portscan
C000345,tcp,ssl,2.1086,12386,33396,SF,22,46,0,benign
C000346,tcp,ssl,1.1508,2937,884,SF,3,2,0,benign
C000347,tcp,-,0.00851,0,0,S0,1,0,1,portscan
C000348,tcp,ssl,2.0374,784,8085,SF,8,15,0,benign
C000349,tcp,ssl,21.3227,7956,27118,SF,13,26,0,benign
C000350,tcp,-,0.00242,0,0,S0,1,0,1,ddos
C000351,tcp,ssl,2.095,2380,8875,SF,10,25,0,benign
C000352,tcp,http,3.7878,2192,26384,SF,8,16,0,benign
C000353,udp,dns,2.8455,1840,10725,SF,4,5,0,benign
C000354,tcp,-,0.00451,0,0,S0,1,0,1,portscan
C000355,tcp,ssl,9.7166,18078,31950,SF,23,25,0,benign
C000356,tcp,ssl,0.7705,3096,7580,S1,9,5,0,benign
C000357,udp,dns,2.6731,6420,16450,SF,15,10,0,benign
C000358,tcp,-,0.0003,0,0,S0,1,0,1,portscan
C000359,tcp,ssl,1.5328,3255,71040,SF,7,24,0,benign
C000360,tcp,ssl,8.7791,3328,14784,SF,4,11,0,benign
C000361,udp,dns,8.5097,3830,10880,SF,5,8,0,benign
C000362,udp,dns,9.574,1010,7895,SF,2,5,0,benign
C000363,tcp,-,0.0045,0,0,S0,1,0,1,ddos
C000364,udp,dns,0.3549,1305,71288,SF,3,56,0,benign
C000365,udp,-,0.04572,0,0,S0,2,0,1,ddos
C000366,tcp,-,0.04305,0,0,S0,1,0,1,ddos
C000367,tcp,-,0.00902,0,0,S0,1,0,1,portscan
C000368,tcp,ssl,6.0534,3068,13352,SF,13,8,0,benign
C000369,tcp,-,3.2361,4410,17937,SF,6,9,0,benign
C000370,udp,dns,1.9291,6688,10265,SF,8,5,0,benign
C000371,tcp,-,0.01899,0,0,S0,2,0,1,ddos
C000372,udp,dns,3.7117,5628,9474,SF,6,6,0,benign
C000373,udp,dns,3.6722,3616,10384,SF,4,22,0,benign
C000374,tcp,ssl,2.7005,1980,11740,SF,6,5,0,benign
C000375,tcp,-,0.00291,0,0,S0,1,0,1,portscan
C000376,tcp,-,0.03396,0,0,S0,1,0,1,ddos
C000377,udp,dns,1.8243,4176,10612,SF,6,7,0,benign
C000378,tcp,http,2.8787,2934,7296,SF,3,4,0,benign
C000379,udp,dns,0.6735,1967,9912,SF,7,4,0,benign
C000380,tcp,ssh,0.2853,515,9940,SF,5,7,0,benign
C000381,udp,dns,6.3341,2859,7959,SF,3,3,0,benign
C000382,tcp,http,6.2188,3042,6937,SF,9,7,0,benign
C000383,udp,dns,3.2092,3756,3700,SF,4,4,0,benign
C000384,icmp,-,1.6013,1890,9852,SF,14,4,0,benign
C000385,udp,dns,1.2059,2675,4200,SF,5,7,0,benign
C000386,tcp,-,0.00278,0,0,S0,1,1,1,portscan
C000387,tcp,-,3.0029,4908,1386,SF,12,7,0,benign
C000388,udp,dns,4.7552,2640,28138,SF,10,11,0,benign
C000389,tcp,ssl,2.9976,4711,14064,SF,7,12,0,benign
C000390,icmp,-,4.3203,2070,26658,SF,6,9,0,benign
C000391,tcp,-,0.0074,0,0,REJ,1,0,1,portscan
C000392,tcp,-,1.6617,3605,13098,SF,5,6,0,benign
C000393,tcp,ssl,3.645,1212,16856,SF,12,8,0,benign
C000394,udp,dns,2.2283,2156,7900,SF,11,10,0,benign
C000395,tcp,ssl,3.5835,23229,1100,SF,29,4,0,benign
C000396,tcp,ssh,5.9046,4220,3756,SF,5,2,0,benign
C000397,icmp,-,1.827,3784,14182,SF,11,14,0,benign
C000398,udp,dns,7.1353,14166,5280,SF,18,8,0,benign
C000399,tcp,-,2.1732,6215,21380,SF,11,10,0,benign
C000400,tcp,http,1.3257,1604,8520,SF,4,10,0,benign
C000401,tcp,-,0.01015,0,0,S0,1,0,1,ddos
C000402,tcp,-,0.00414,0,0,S0,1,0,1,portscan
C000403,tcp,-,0.00424,0,0,S0,1,1,1,portscan
C000404,tcp,http,3.1244,6720,44396,SF,14,22,0,benign
C000405,tcp,http,4.0692,2615,999,SF,5,3,0,benign
C000406,udp,dns,5.8118,9594,9747,SF,13,9,0,benign
C000407,udp,-,0.02333,0,0,S0,1,0,1,ddos
C000408,tcp,ssl,3.6866,465,6330,SF,5,15,0,benign
C000409,tcp,ssl,0.8265,10252,33102,SF,11,18,0,benign
C000410,tcp,-,0.00961,0,0,S0,1,0,1,ddos
C000411,tcp,http,2.8853,5058,20706,SF,9,14,0,benign
C000412,udp,dns,12.8362,430,4675,SF,5,5,0,benign
C000413,tcp,-,0.02809,0,0,S0,1,0,1,ddos
C000414,tcp,ssh,2.8402,480,330,SF,10,6,1,bruteforce
C000415,tcp,-,0.00345,0,0,S0,1,0,1,portscan
C000416,tcp,http,16.5769,12762,7100,SF,18,10,0,benign
